drug,side_effect,label,query
ropinirole,actinic keratosis,1,Is actinic keratosis an adverse effect of ropinirole?
ropinirole,laryngeal cancer,1,Is laryngeal cancer an adverse effect of ropinirole?
ropinirole,dysuria,1,Is dysuria an adverse effect of ropinirole?
ropinirole,balanoposthitis,1,Is balanoposthitis an adverse effect of ropinirole?
ropinirole,lymphadenopathy,1,Is lymphadenopathy an adverse effect of ropinirole?
ropinirole,phlebitis superficial,1,Is phlebitis superficial an adverse effect of ropinirole?
ropinirole,cholecystitis,1,Is cholecystitis an adverse effect of ropinirole?
ropinirole,hypokalaemia,1,Is hypokalaemia an adverse effect of ropinirole?
ropinirole,gout,1,Is gout an adverse effect of ropinirole?
ropinirole,atrioventricular block,1,Is atrioventricular block an adverse effect of ropinirole?
ropinirole,tendinous contracture,0,Is tendinous contracture an adverse effect of ropinirole?
ropinirole,atrial flutter,0,Is atrial flutter an adverse effect of ropinirole?
ropinirole,gingival ulceration,0,Is gingival ulceration an adverse effect of ropinirole?
ropinirole,acute leukaemia,0,Is acute leukaemia an adverse effect of ropinirole?
ropinirole,meningioma,0,Is meningioma an adverse effect of ropinirole?
ropinirole,metastasis,0,Is metastasis an adverse effect of ropinirole?
ropinirole,nodal arrhythmia,0,Is nodal arrhythmia an adverse effect of ropinirole?
ropinirole,parotid gland enlargement,0,Is parotid gland enlargement an adverse effect of ropinirole?
ropinirole,skin discomfort,0,Is skin discomfort an adverse effect of ropinirole?
ropinirole,lip oedema,0,Is lip oedema an adverse effect of ropinirole?
fluoxetine,dysgeusia,1,Is dysgeusia an adverse effect of fluoxetine?
fluoxetine,urinary tract infection,1,Is urinary tract infection an adverse effect of fluoxetine?
fluoxetine,gastroenteritis,1,Is gastroenteritis an adverse effect of fluoxetine?
fluoxetine,albuminuria,1,Is albuminuria an adverse effect of fluoxetine?
fluoxetine,thrombocytosis,1,Is thrombocytosis an adverse effect of fluoxetine?
fluoxetine,hypertension,1,Is hypertension an adverse effect of fluoxetine?
fluoxetine,teratogenicity,1,Is teratogenicity an adverse effect of fluoxetine?
fluoxetine,blood pressure increased,1,Is blood pressure increased an adverse effect of fluoxetine?
fluoxetine,mental disorder,1,Is mental disorder an adverse effect of fluoxetine?
fluoxetine,grand mal convulsion,1,Is grand mal convulsion an adverse effect of fluoxetine?
fluoxetine,endotracheal intubation complication,0,Is endotracheal intubation complication an adverse effect of fluoxetine?
fluoxetine,postpartum disorder,0,Is postpartum disorder an adverse effect of fluoxetine?
fluoxetine,factor i deficiency,0,Is factor i deficiency an adverse effect of fluoxetine?
fluoxetine,gastric disorder,0,Is gastric disorder an adverse effect of fluoxetine?
fluoxetine,scleroderma,0,Is scleroderma an adverse effect of fluoxetine?
fluoxetine,electrocardiogram st segment abnormal,0,Is electrocardiogram st segment abnormal an adverse effect of fluoxetine?
fluoxetine,diabetic vascular disorder,0,Is diabetic vascular disorder an adverse effect of fluoxetine?
fluoxetine,acute graft versus host disease,0,Is acute graft versus host disease an adverse effect of fluoxetine?
fluoxetine,tongue neoplasm malignant stage unspecified,0,Is tongue neoplasm malignant stage unspecified an adverse effect of fluoxetine?
fluoxetine,adenovirus infection,0,Is adenovirus infection an adverse effect of fluoxetine?
lercanidipine,angina pectoris,1,Is angina pectoris an adverse effect of lercanidipine?
lercanidipine,pruritus,1,Is pruritus an adverse effect of lercanidipine?
lercanidipine,cough,1,Is cough an adverse effect of lercanidipine?
lercanidipine,lymphadenopathy,1,Is lymphadenopathy an adverse effect of lercanidipine?
lercanidipine,bronchospasm,1,Is bronchospasm an adverse effect of lercanidipine?
lercanidipine,eye disorder,1,Is eye disorder an adverse effect of lercanidipine?
lercanidipine,dysphonia,1,Is dysphonia an adverse effect of lercanidipine?
lercanidipine,face oedema,1,Is face oedema an adverse effect of lercanidipine?
lercanidipine,pollakiuria,1,Is pollakiuria an adverse effect of lercanidipine?
