drug,side_effect,label,query,drug_original_misspelled
ropinirole,actinic keratosis,1,Is actinic keratosis an adverse effect of ropinirole?,ropirinole
ropinirole,laryngeal cancer,1,Is laryngeal cancer an adverse effect of ropinirole?,ropirinole
ropinirole,dysuria,1,Is dysuria an adverse effect of ropinirole?,ropirinole
ropinirole,balanoposthitis,1,Is balanoposthitis an adverse effect of ropinirole?,ropirinole
ropinirole,lymphadenopathy,1,Is lymphadenopathy an adverse effect of ropinirole?,ropirinole
ropinirole,phlebitis superficial,1,Is phlebitis superficial an adverse effect of ropinirole?,ropirinole
ropinirole,cholecystitis,1,Is cholecystitis an adverse effect of ropinirole?,ropirinole
ropinirole,hypokalaemia,1,Is hypokalaemia an adverse effect of ropinirole?,ropirinole
ropinirole,gout,1,Is gout an adverse effect of ropinirole?,ropirinole
ropinirole,atrioventricular block,1,Is atrioventricular block an adverse effect of ropinirole?,ropirinole
ropinirole,tendinous contracture,0,Is tendinous contracture an adverse effect of ropinirole?,ropirinole
ropinirole,atrial flutter,0,Is atrial flutter an adverse effect of ropinirole?,ropirinole
ropinirole,gingival ulceration,0,Is gingival ulceration an adverse effect of ropinirole?,ropirinole
ropinirole,acute leukaemia,0,Is acute leukaemia an adverse effect of ropinirole?,ropirinole
ropinirole,meningioma,0,Is meningioma an adverse effect of ropinirole?,ropirinole
ropinirole,metastasis,0,Is metastasis an adverse effect of ropinirole?,ropirinole
ropinirole,nodal arrhythmia,0,Is nodal arrhythmia an adverse effect of ropinirole?,ropirinole
ropinirole,parotid gland enlargement,0,Is parotid gland enlargement an adverse effect of ropinirole?,ropirinole
ropinirole,skin discomfort,0,Is skin discomfort an adverse effect of ropinirole?,ropirinole
ropinirole,lip oedema,0,Is lip oedema an adverse effect of ropinirole?,ropirinole
fluoxetine,dysgeusia,1,Is dysgeusia an adverse effect of fluoxetine?,floxetine
fluoxetine,urinary tract infection,1,Is urinary tract infection an adverse effect of fluoxetine?,floxetine
fluoxetine,gastroenteritis,1,Is gastroenteritis an adverse effect of fluoxetine?,floxetine
fluoxetine,albuminuria,1,Is albuminuria an adverse effect of fluoxetine?,floxetine
fluoxetine,thrombocytosis,1,Is thrombocytosis an adverse effect of fluoxetine?,floxetine
fluoxetine,hypertension,1,Is hypertension an adverse effect of fluoxetine?,floxetine
fluoxetine,teratogenicity,1,Is teratogenicity an adverse effect of fluoxetine?,floxetine
fluoxetine,blood pressure increased,1,Is blood pressure increased an adverse effect of fluoxetine?,floxetine
fluoxetine,mental disorder,1,Is mental disorder an adverse effect of fluoxetine?,floxetine
fluoxetine,grand mal convulsion,1,Is grand mal convulsion an adverse effect of fluoxetine?,floxetine
fluoxetine,endotracheal intubation complication,0,Is endotracheal intubation complication an adverse effect of fluoxetine?,floxetine
fluoxetine,postpartum disorder,0,Is postpartum disorder an adverse effect of fluoxetine?,floxetine
fluoxetine,factor i deficiency,0,Is factor i deficiency an adverse effect of fluoxetine?,floxetine
fluoxetine,gastric disorder,0,Is gastric disorder an adverse effect of fluoxetine?,floxetine
fluoxetine,scleroderma,0,Is scleroderma an adverse effect of fluoxetine?,floxetine
fluoxetine,electrocardiogram st segment abnormal,0,Is electrocardiogram st segment abnormal an adverse effect of fluoxetine?,floxetine
fluoxetine,diabetic vascular disorder,0,Is diabetic vascular disorder an adverse effect of fluoxetine?,floxetine
fluoxetine,acute graft versus host disease,0,Is acute graft versus host disease an adverse effect of fluoxetine?,floxetine
fluoxetine,tongue neoplasm malignant stage unspecified,0,Is tongue neoplasm malignant stage unspecified an adverse effect of fluoxetine?,floxetine
fluoxetine,adenovirus infection,0,Is adenovirus infection an adverse effect of fluoxetine?,floxetine
lercanidipine,angina pectoris,1,Is angina pectoris an adverse effect of lercanidipine?,lercanipidine
lercanidipine,pruritus,1,Is pruritus an adverse effect of lercanidipine?,lercanipidine
lercanidipine,cough,1,Is cough an adverse effect of lercanidipine?,lercanipidine
lercanidipine,lymphadenopathy,1,Is lymphadenopathy an adverse effect of lercanidipine?,lercanipidine
lercanidipine,bronchospasm,1,Is bronchospasm an adverse effect of lercanidipine?,lercanipidine
lercanidipine,eye disorder,1,Is eye disorder an adverse effect of lercanidipine?,lercanipidine
lercanidipine,dysphonia,1,Is dysphonia an adverse effect of lercanidipine?,lercanipidine
lercanidipine,face oedema,1,Is face oedema an adverse effect of lercanidipine?,lercanipidine
lercanidipine,pollakiuria,1,Is pollakiuria an adverse effect of lercanidipine?,lercanipidine
lercanidipine,vomiting,1,Is vomiting an adverse effect of lercanidipine?,lercanipidine
lercanidipine,mesenteric artery thrombosis,0,Is mesenteric artery thrombosis an adverse effect of lercanidipine?,lercanipidine
lercanidipine,organ failure,0,Is organ failure an adverse effect of lercanidipine?,lercanipidine
lercanidipine,cardiopulmonary failure,0,Is cardiopulmonary failure an adverse effect of lercanidipine?,lercanipidine
lercanidipine,osteomalacia,0,Is osteomalacia an adverse effect of lercanidipine?,lercanipidine
lercanidipine,epicondylitis,0,Is epicondylitis an adverse effect of lercanidipine?,lercanipidine
lercanidipine,rectal discharge,0,Is rectal discharge an adverse effect of lercanidipine?,lercanipidine
lercanidipine,gastrointestinal hypermotility,0,Is gastrointestinal hypermotility an adverse effect of lercanidipine?,lercanipidine
lercanidipine,mean platelet volume decreased,0,Is mean platelet volume decreased an adverse effect of lercanidipine?,lercanipidine
lercanidipine,lichen planus,0,Is lichen planus an adverse effect of lercanidipine?,lercanipidine
lercanidipine,faecalith,0,Is faecalith an adverse effect of lercanidipine?,lercanipidine
lormetazepam,libido decreased,1,Is libido decreased an adverse effect of lormetazepam?,lormetazerpam
lormetazepam,dysgeusia,1,Is dysgeusia an adverse effect of lormetazepam?,lormetazerpam
lormetazepam,somnolence,1,Is somnolence an adverse effect of lormetazepam?,lormetazerpam
lormetazepam,visual impairment,1,Is visual impairment an adverse effect of lormetazepam?,lormetazerpam
lormetazepam,angioedema,1,Is angioedema an adverse effect of lormetazepam?,lormetazerpam
lormetazepam,hallucination,1,Is hallucination an adverse effect of lormetazepam?,lormetazerpam
lormetazepam,tension,1,Is tension an adverse effect of lormetazepam?,lormetazerpam
