drug,side_effect,label,query
ropirinole,actinic keratosis,1,Is actinic keratosis an adverse effect of ropirinole?
ropirinole,laryngeal cancer,1,Is laryngeal cancer an adverse effect of ropirinole?
ropirinole,dysuria,1,Is dysuria an adverse effect of ropirinole?
ropirinole,balanoposthitis,1,Is balanoposthitis an adverse effect of ropirinole?
ropirinole,lymphadenopathy,1,Is lymphadenopathy an adverse effect of ropirinole?
ropirinole,phlebitis superficial,1,Is phlebitis superficial an adverse effect of ropirinole?
ropirinole,cholecystitis,1,Is cholecystitis an adverse effect of ropirinole?
ropirinole,hypokalaemia,1,Is hypokalaemia an adverse effect of ropirinole?
ropirinole,gout,1,Is gout an adverse effect of ropirinole?
ropirinole,atrioventricular block,1,Is atrioventricular block an adverse effect of ropirinole?
ropirinole,tendinous contracture,0,Is tendinous contracture an adverse effect of ropirinole?
ropirinole,atrial flutter,0,Is atrial flutter an adverse effect of ropirinole?
ropirinole,gingival ulceration,0,Is gingival ulceration an adverse effect of ropirinole?
ropirinole,acute leukaemia,0,Is acute leukaemia an adverse effect of ropirinole?
ropirinole,meningioma,0,Is meningioma an adverse effect of ropirinole?
ropirinole,metastasis,0,Is metastasis an adverse effect of ropirinole?
ropirinole,nodal arrhythmia,0,Is nodal arrhythmia an adverse effect of ropirinole?
ropirinole,parotid gland enlargement,0,Is parotid gland enlargement an adverse effect of ropirinole?
ropirinole,skin discomfort,0,Is skin discomfort an adverse effect of ropirinole?
ropirinole,lip oedema,0,Is lip oedema an adverse effect of ropirinole?
floxetine,dysgeusia,1,Is dysgeusia an adverse effect of floxetine?
floxetine,urinary tract infection,1,Is urinary tract infection an adverse effect of floxetine?
floxetine,gastroenteritis,1,Is gastroenteritis an adverse effect of floxetine?
floxetine,albuminuria,1,Is albuminuria an adverse effect of floxetine?
floxetine,thrombocytosis,1,Is thrombocytosis an adverse effect of floxetine?
floxetine,hypertension,1,Is hypertension an adverse effect of floxetine?
floxetine,teratogenicity,1,Is teratogenicity an adverse effect of floxetine?
floxetine,blood pressure increased,1,Is blood pressure increased an adverse effect of floxetine?
floxetine,mental disorder,1,Is mental disorder an adverse effect of floxetine?
floxetine,grand mal convulsion,1,Is grand mal convulsion an adverse effect of floxetine?
floxetine,endotracheal intubation complication,0,Is endotracheal intubation complication an adverse effect of floxetine?
floxetine,postpartum disorder,0,Is postpartum disorder an adverse effect of floxetine?
floxetine,factor i deficiency,0,Is factor i deficiency an adverse effect of floxetine?
floxetine,gastric disorder,0,Is gastric disorder an adverse effect of floxetine?
floxetine,scleroderma,0,Is scleroderma an adverse effect of floxetine?
floxetine,electrocardiogram st segment abnormal,0,Is electrocardiogram st segment abnormal an adverse effect of floxetine?
floxetine,diabetic vascular disorder,0,Is diabetic vascular disorder an adverse effect of floxetine?
floxetine,acute graft versus host disease,0,Is acute graft versus host disease an adverse effect of floxetine?
floxetine,tongue neoplasm malignant stage unspecified,0,Is tongue neoplasm malignant stage unspecified an adverse effect of floxetine?
floxetine,adenovirus infection,0,Is adenovirus infection an adverse effect of floxetine?
lercanipidine,angina pectoris,1,Is angina pectoris an adverse effect of lercanipidine?
lercanipidine,pruritus,1,Is pruritus an adverse effect of lercanipidine?
lercanipidine,cough,1,Is cough an adverse effect of lercanipidine?
lercanipidine,lymphadenopathy,1,Is lymphadenopathy an adverse effect of lercanipidine?
lercanipidine,bronchospasm,1,Is bronchospasm an adverse effect of lercanipidine?
lercanipidine,eye disorder,1,Is eye disorder an adverse effect of lercanipidine?
lercanipidine,dysphonia,1,Is dysphonia an adverse effect of lercanipidine?
lercanipidine,face oedema,1,Is face oedema an adverse effect of lercanipidine?
lercanipidine,pollakiuria,1,Is pollakiuria an adverse effect of lercanipidine?
lercanipidine,vomiting,1,Is vomiting an adverse effect of lercanipidine?
lercanipidine,mesenteric artery thrombosis,0,Is mesenteric artery thrombosis an adverse effect of lercanipidine?
