side_effect,query,drug,label
dizziness,Which drugs cause dizziness?,octreotide,YES
dizziness,Which drugs cause dizziness?,minoxidil,NO
dizziness,What medications lead to dizziness?,methocarbamol,YES
dizziness,What medications lead to dizziness?,eptifibatide,NO
dizziness,List drugs associated with dizziness,vardenafil,YES
dizziness,List drugs associated with dizziness,gemcitabine,NO
nausea,Which drugs cause nausea?,doripenem,YES
nausea,Which drugs cause nausea?,tafluprost,NO
nausea,What medications lead to nausea?,vigabatrin,YES
nausea,What medications lead to nausea?,lantus,NO
nausea,List drugs associated with nausea,penciclovir,YES
nausea,List drugs associated with nausea,finasteride,NO
headache,Which drugs cause headache?,fe(iii,YES
headache,Which drugs cause headache?,mecamylamine,NO
headache,What medications lead to headache?,ephedrine,YES
headache,What medications lead to headache?,molindone,NO
headache,List drugs associated with headache,naltrexone,YES
headache,List drugs associated with headache,cefotetan,NO
rash,Which drugs cause rash?,ceftizoxime,YES
rash,Which drugs cause rash?,carteolol,NO
rash,What medications lead to rash?,x,YES
rash,What medications lead to rash?,nepafenac,NO
rash,List drugs associated with rash,temsirolimus,YES
rash,List drugs associated with rash,conivaptan,NO
vomiting,Which drugs cause vomiting?,cefdinir,YES
vomiting,Which drugs cause vomiting?,fluoxymesterone,NO
vomiting,What medications lead to vomiting?,epinephrine,YES
vomiting,What medications lead to vomiting?,doxapram,NO
vomiting,List drugs associated with vomiting,methylergometrine,YES
vomiting,List drugs associated with vomiting,methyltestosterone,NO
asthenia,Which drugs cause asthenia?,rosiglitazone,YES
asthenia,Which drugs cause asthenia?,roxithromycin,NO
asthenia,What medications lead to asthenia?,teniposide,YES
asthenia,What medications lead to asthenia?,hydralazine,NO
asthenia,List drugs associated with asthenia,misoprostol,YES
asthenia,List drugs associated with asthenia,thioridazine,NO
diarrhoea,Which drugs cause diarrhoea?,conivaptan,YES
diarrhoea,Which drugs cause diarrhoea?,phenylephrine,NO
diarrhoea,What medications lead to diarrhoea?,diatrizoate,YES
diarrhoea,What medications lead to diarrhoea?,tetracaine,NO
diarrhoea,List drugs associated with diarrhoea,mycophenolate,YES
diarrhoea,List drugs associated with diarrhoea,glutamine,NO
pruritus,Which drugs cause pruritus?,pindolol,YES
pruritus,Which drugs cause pruritus?,org,NO
pruritus,What medications lead to pruritus?,glutamine,YES
pruritus,What medications lead to pruritus?,tetracycline,NO
pruritus,List drugs associated with pruritus,paricalcitol,YES
pruritus,List drugs associated with pruritus,entecavir,NO
hypersensitivity,Which drugs cause hypersensitivity?,oxycodone,YES
hypersensitivity,Which drugs cause hypersensitivity?,arsenic,NO
hypersensitivity,What medications lead to hypersensitivity?,methyl,YES
hypersensitivity,What medications lead to hypersensitivity?,gemcitabine,NO
hypersensitivity,List drugs associated with hypersensitivity,miconazole,YES
hypersensitivity,List drugs associated with hypersensitivity,dfmo,NO
abdominal pain,Which drugs cause abdominal pain?,cefprozil,YES
abdominal pain,Which drugs cause abdominal pain?,rizatriptan,NO
abdominal pain,What medications lead to abdominal pain?,nalmefene,YES
abdominal pain,What medications lead to abdominal pain?,perphenazine,NO
abdominal pain,List drugs associated with abdominal pain,gadoteridol,YES
abdominal pain,List drugs associated with abdominal pain,disopyramide,NO
urticaria,Which drugs cause urticaria?,zoledronic,YES
urticaria,Which drugs cause urticaria?,nilutamide,NO
urticaria,What medications lead to urticaria?,metrodin,YES
urticaria,What medications lead to urticaria?,thymidine,NO
urticaria,List drugs associated with urticaria,modafinil,YES
urticaria,List drugs associated with urticaria,amobarbital,NO
body temperature increased,Which drugs cause body temperature increased?,cinacalcet,YES
body temperature increased,Which drugs cause body temperature increased?,lormetazepam,NO
body temperature increased,What medications lead to body temperature increased?,metoprolol,YES
body temperature increased,What medications lead to body temperature increased?,nafarelin,NO
body temperature increased,List drugs associated with body temperature increased,sulindac,YES
body temperature increased,List drugs associated with body temperature increased,estriol,NO
dermatitis,Which drugs cause dermatitis?,lapatinib,YES
dermatitis,Which drugs cause dermatitis?,poly(styrene,NO
dermatitis,What medications lead to dermatitis?,teniposide,YES
dermatitis,What medications lead to dermatitis?,conivaptan,NO
dermatitis,List drugs associated with dermatitis,vallergan,YES
dermatitis,List drugs associated with dermatitis,oxprenolol,NO
pain,Which drugs cause pain?,valdecoxib,YES
pain,Which drugs cause pain?,rocuronium,NO
pain,What medications lead to pain?,naratriptan,YES
pain,What medications lead to pain?,fesoterodine,NO
pain,List drugs associated with pain,amsacrine,YES
pain,List drugs associated with pain,tetrahydrobiopterin,NO
gastrointestinal disorder,Which drugs cause gastrointestinal disorder?,dimercaptosuccinic,YES
gastrointestinal disorder,Which drugs cause gastrointestinal disorder?,trimethadione,NO
gastrointestinal disorder,What medications lead to gastrointestinal disorder?,estradiol,YES
gastrointestinal disorder,What medications lead to gastrointestinal disorder?,terbutaline,NO
gastrointestinal disorder,List drugs associated with gastrointestinal disorder,dabigatran,YES
gastrointestinal disorder,List drugs associated with gastrointestinal disorder,beclomethasone,NO
fatigue,Which drugs cause fatigue?,tiaprofenic,YES
fatigue,Which drugs cause fatigue?,bpti,NO
fatigue,What medications lead to fatigue?,diltiazem,YES
fatigue,What medications lead to fatigue?,2-hydroxysuccinaldehyde,NO
fatigue,List drugs associated with fatigue,sodium,YES
fatigue,List drugs associated with fatigue,dexmedetomidine,NO
dyspepsia,Which drugs cause dyspepsia?,mirabegron,YES
dyspepsia,Which drugs cause dyspepsia?,lodoxamide,NO
dyspepsia,What medications lead to dyspepsia?,ropinirole,YES
dyspepsia,What medications lead to dyspepsia?,amoxicillin,NO
dyspepsia,List drugs associated with dyspepsia,diphenhydramine,YES
dyspepsia,List drugs associated with dyspepsia,pimecrolimus,NO
constipation,Which drugs cause constipation?,tiaprofenic,YES
constipation,Which drugs cause constipation?,nimodipine,NO
constipation,What medications lead to constipation?,ipratropium,YES
constipation,What medications lead to constipation?,testosterone,NO
constipation,List drugs associated with constipation,ofloxacin,YES
constipation,List drugs associated with constipation,glibenclamide,NO
dyspnoea,Which drugs cause dyspnoea?,azithromycin,YES
dyspnoea,Which drugs cause dyspnoea?,choline,NO
dyspnoea,What medications lead to dyspnoea?,eaca,YES
dyspnoea,What medications lead to dyspnoea?,orlistat,NO
dyspnoea,List drugs associated with dyspnoea,atazanavir,YES
dyspnoea,List drugs associated with dyspnoea,phentermine,NO
hypotension,Which drugs cause hypotension?,ticagrelor,YES
hypotension,Which drugs cause hypotension?,saxagliptin,NO
hypotension,What medications lead to hypotension?,itraconazole,YES
hypotension,What medications lead to hypotension?,capreomycin,NO
hypotension,List drugs associated with hypotension,pramipexole,YES
hypotension,List drugs associated with hypotension,acetohydroxamic,NO
insomnia,Which drugs cause insomnia?,lenalidomide,YES
insomnia,Which drugs cause insomnia?,lithium,NO
insomnia,What medications lead to insomnia?,moxifloxacin,YES
insomnia,What medications lead to insomnia?,warfarin,NO
insomnia,List drugs associated with insomnia,abacavir,YES
insomnia,List drugs associated with insomnia,nateglinide,NO
anaphylactic shock,Which drugs cause anaphylactic shock?,carvedilol,YES
anaphylactic shock,Which drugs cause anaphylactic shock?,fenofibrate,NO
anaphylactic shock,What medications lead to anaphylactic shock?,trimethoprim,YES
anaphylactic shock,What medications lead to anaphylactic shock?,emtricitabine,NO
anaphylactic shock,List drugs associated with anaphylactic shock,tobramycin,YES
anaphylactic shock,List drugs associated with anaphylactic shock,amobarbital,NO
paraesthesia,Which drugs cause paraesthesia?,vardenafil,YES
paraesthesia,Which drugs cause paraesthesia?,penicillin,NO
paraesthesia,What medications lead to paraesthesia?,triazolam,YES
paraesthesia,What medications lead to paraesthesia?,quinidine,NO
paraesthesia,List drugs associated with paraesthesia,mometasone,YES
paraesthesia,List drugs associated with paraesthesia,zanamivir,NO
somnolence,Which drugs cause somnolence?,olopatadine,YES
somnolence,Which drugs cause somnolence?,lapatinib,NO
somnolence,What medications lead to somnolence?,technetium-99m,YES
somnolence,What medications lead to somnolence?,poly(styrene,NO
somnolence,List drugs associated with somnolence,oxymorphone,YES
somnolence,List drugs associated with somnolence,amsacrine,NO
