Original,Spelling error,,Comments,,
lormetazepam,lormetazerpam,,"one letter addition ""r""",,
griseofulvin,grisefulvin,,"one letter omission ""o""",,
lercanidipine,lercanipidine,,"two letters switched ""p"" and ""d""",,
miglitol,miglitilol,,"two letter addition ""io""",,
fluoxetine,floxetine,,"one letter omission ""u""",,
ropinirole,ropirinole,,"two letter switched ""n"" and ""r""",,
latanoprost ,latanaprost,,"one letter switched ""o"" to ""a""",,
nateglinide,netaglinide,,"two letter switched ""a"" and ""e""",,
adefovir,adeflovir,,"addition of ""l""",,
levobunolol,levabnolol,,"one letter swtched ""o"" to ""a""",,
