index,drug,side_effect,label,output_pure_llm,output_format_a,output_format_b,output_graphrag
0,"1,25(oh)2d3",arterial occlusive disease,0,0,0,0,0
1,"1,25(oh)2d3",asthenia,1,0,1,1,1
2,"1,25(oh)2d3",blood creatinine increased,1,1,1,1,1
3,"1,25(oh)2d3",calcium intoxication,1,1,1,1,1
4,"1,25(oh)2d3",dermatitis,1,0,1,1,1
5,"1,25(oh)2d3",haemoglobin increased,1,0,1,1,1
6,"1,25(oh)2d3",headache,1,0,1,1,1
7,"1,25(oh)2d3",hypervitaminosis d,0,1,0,0,0
8,"1,25(oh)2d3",libido decreased,1,0,1,1,1
9,"1,25(oh)2d3",mean arterial pressure decreased,0,0,0,0,0
10,"1,25(oh)2d3",myositis,0,0,0,0,0
11,"1,25(oh)2d3",oliguria,0,0,0,0,0
12,"1,25(oh)2d3",pain,1,0,1,1,1
13,"1,25(oh)2d3",portal hypertension,0,0,0,0,0
14,"1,25(oh)2d3",progesterone,0,0,0,0,0
15,"1,25(oh)2d3",prostatomegaly,0,0,0,0,0
16,"1,25(oh)2d3",pruritus,1,0,1,1,1
17,"1,25(oh)2d3",status epilepticus,0,0,0,0,0
18,"1,25(oh)2d3",testicular atrophy,0,0,0,0,0
19,"1,25(oh)2d3",weight decreased,1,0,1,1,1
20,17-hydroxyprogesterone,asthenia,1,0,1,1,1
21,17-hydroxyprogesterone,body temperature increased,1,0,1,1,1
22,17-hydroxyprogesterone,breakthrough pain,0,0,0,0,0
23,17-hydroxyprogesterone,cervical incompetence,1,0,1,1,1
24,17-hydroxyprogesterone,chest pain,1,0,1,1,1
25,17-hydroxyprogesterone,erythema,1,0,1,1,1
26,17-hydroxyprogesterone,fatigue,1,0,1,1,1
27,17-hydroxyprogesterone,glucose tolerance impaired,0,0,0,0,0
28,17-hydroxyprogesterone,hepatitis alcoholic,0,0,0,0,0
29,17-hydroxyprogesterone,hypersensitivity,1,0,1,1,1
30,17-hydroxyprogesterone,injection site reaction,1,0,1,1,1
31,17-hydroxyprogesterone,intertrigo,0,0,0,0,0
32,17-hydroxyprogesterone,kidney fibrosis,0,0,0,0,0
